x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [1.10250598]   , u:[-1.] , d:2.0108933058975262
x: [1.15188807]   , u:[-1.] , d:4.835703376227904
x: [1.0964516]   , u:[-1.] , d:-5.695534969710469
x: [1.06234348]   , u:[-1.] , d:-3.507263624892221
x: [1.07460776]   , u:[-1.] , d:1.1640842515134409
x: [1.09326973]   , u:[-1.] , d:1.7915889903681739
x: [1.02719352]   , u:[-1.] , d:-6.700890822380191
x: [1.01143104]   , u:[-1.] , d:-1.6034410417748126
x: [1.06033405]   , u:[-1.] , d:4.878869604274227
x: [1.08101656]   , u:[-1.] , d:2.0079173934361942
x: [1.13980877]   , u:[-1.] , d:5.798203911751265
x: [1.165437]   , u:[-1.] , d:2.423014601716172
x: [1.1427174]   , u:[-1.] , d:-2.4373969414701757
x: [1.12399705]   , u:[-1.] , d:-2.014752781404973
x: [1.16663704]   , u:[-1.] , d:4.140002248556403
x: [1.17085037]   , u:[-1.] , d:0.25469551914424693
x: [1.16777424]   , u:[-1.] , d:-0.4784634319242705
x: [1.1918832]   , u:[-1.] , d:2.2431220356864197
x: [1.2053797]   , u:[-1.] , d:1.1577672354073578
x: [1.20713247]   , u:[-1.] , d:-0.03010270858229891
x: [1.16102513]   , u:[-1.] , d:-4.817866806066171
x: [1.13044416]   , u:[-1.] , d:-3.2191224083345653
x: [1.13045815]   , u:[-1.] , d:-0.12904482870151604
x: [1.09693951]   , u:[-1.] , d:-3.4823216679872964
x: [1.13740244]   , u:[-1.] , d:3.949353381369521
x: [1.11144145]   , u:[-1.] , d:-2.733501958415463
x: [1.15976232]   , u:[-1.] , d:4.720646085122811
x: [1.15652898]   , u:[-1.] , d:-0.4830971458723628
x: [1.09123785]   , u:[-1.] , d:-6.6856413484728785
x: [1.02875698]   , u:[-1.] , d:-6.339324807405055
x: [1.08947508]   , u:[-1.] , d:6.0430522860172875
x: [1.07043151]   , u:[-1.] , d:-1.9938315156293185
x: [1.05070284]   , u:[-1.] , d:-2.0432983455314018
x: [1.04863982]   , u:[-1.] , d:-0.25700545984829604
x: [1.01311759]   , u:[-1.] , d:-3.6008624858230465
x: [1.02631176]   , u:[-1.] , d:1.3062994946776763
x: [1.00541114]   , u:[-1.] , d:-2.1163738882133742
x: [1.03508308]   , u:[-1.] , d:2.961783142859064
x: [1.08941537]   , u:[-1.] , d:5.3981456732530395
x: [1.09670768]   , u:[-1.] , d:0.6398155865300209
x: [1.04681838]   , u:[-1.] , d:-5.085637089822092
